"att1","loan_id","amount","duration","payments","min_amount","max_amount","avg_amount","min_balance","max_balance","avg_balance","credit","withdrawal","members","last_balance","gender","no. of inhabitants","no. of municipalities with inhabitants < 499 ","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999 ","no. of municipalities with inhabitants >10000 ","no. of cities ","ratio of urban inhabitants ","average salary ","unemploymant rate '95 ","unemploymant rate '96 ","no. of enterpreneurs per 1000 inhabitants ","no. of commited crimes '95 ","no. of commited crimes '96 ","Prague","central Bohemia","east Bohemia","north Bohemia","north Moravia","south Bohemia","south Moravia","west Bohemia","number_of_cards","owner_age","loan_year","loan_month","loan_day","confidence(false)","confidence(true)","prediction(status)"
274,5976,465504,48,9698,14.6,24735.0,5107.33488372093,1100.0,49947.4,26347.12441860465,29,57,1,17274.4,0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,0,0,0,0,1,0,0,0,0.0,35,1997,12,27,0.5061007687168938,0.4938992312831063,"false"
275,7139,23412,12,1951,12.3,37120.0,7822.422480620153,800.0,88158.1,54304.50852713172,40,89,2,52566.3,0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,0,0,0,0,1,0,0,0,1.0,42,1998,1,22,0.1825587065848373,0.8174412934151623,"true"
276,5046,42816,12,3568,14.6,10486.0,3205.855294117648,1100.0,31616.5,17076.756470588225,41,44,2,18696.6,0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,0,0,0,0,1,0,0,0,0.0,61,1998,9,9,0.32175986835003656,0.6782401316499634,"true"
277,5451,159744,48,3328,14.6,42869.0,14081.532142857142,600.0,105953.6,56388.810714285704,15,13,1,53598.4,1,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,0,0,0,0,0,1,0,0,0.0,24,1997,5,11,0.2890008510150094,0.7109991489849907,"true"
278,6856,163332,36,4537,14.6,48983.0,8457.21818181818,600.0,69553.7,29463.690909090925,34,32,1,17581.7,0,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,0,0,0,0,0,1,0,0,0.0,60,1998,12,1,0.5172766323257842,0.4827233676742157,"false"
279,5253,100080,48,2085,22.3,12508.0,5374.2699999999995,300.0,38628.6,22604.340000000004,8,2,1,29942.7,1,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,0,0,0,0,0,0,1,0,0.0,31,1997,6,3,0.48944640845910103,0.510553591540899,"true"
280,6695,309660,60,5161,43.1,30967.0,12153.429411764708,1100.0,70963.2,40151.711764705884,13,4,2,44736.8,1,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,0,0,1,0,0,0,0,0,0.0,38,1997,6,4,0.1656200516831254,0.8343799483168748,"true"
281,6621,42900,12,3575,14.6,63700.0,11403.547428571432,500.0,155065.5,50590.53200000004,65,110,2,97149.3,0,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,0,0,1,0,0,0,0,0,0.0,32,1997,6,14,0.18841664572270073,0.8115833542772986,"true"
282,6435,288720,48,6015,14.6,54138.0,17591.314285714285,400.0,102188.4,54677.280952380956,12,9,1,102188.4,0,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,0,0,1,0,0,0,0,0,0.0,54,1997,6,16,0.24179324609547717,0.7582067539045226,"true"
283,5389,78600,24,3275,51.1,29474.0,11047.050000000001,800.0,67058.7,42902.40714285714,11,3,1,67058.7,0,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,0,0,1,0,0,0,0,0,0.0,41,1997,8,22,0.2943696269777787,0.7056303730222212,"true"
284,6872,191580,60,3193,14.6,7500.0,2356.2633333333333,900.0,28098.6,18241.439999999995,20,10,1,17266.7,1,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,0,0,1,0,0,0,0,0,0.0,32,1998,4,29,0.37301248805363596,0.626987511946364,"true"
285,6908,188616,24,7859,3.4,49720.0,7799.71111111111,900.0,125455.0,45805.5,40,23,2,56930.2,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,58,1997,6,8,0.31375990494698386,0.686240095053016,"true"
286,6942,18324,12,1527,14.6,30489.0,7499.845348837209,700.0,54764.2,31402.28372093021,30,56,2,31236.8,1,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,46,1997,7,16,0.16416127443002262,0.8358387255699771,"true"
287,6665,99300,60,1655,14.6,27963.0,6083.388888888886,600.0,60868.8,39110.67083333335,45,99,1,32199.4,1,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,24,1997,8,15,0.2227531969900263,0.7772468030099737,"true"
288,6541,153504,48,3198,14.6,28780.0,6225.907207207204,300.0,65101.8,33651.10360360364,35,76,1,27633.1,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,21,1997,8,17,0.45065783247681257,0.5493421675231873,"true"
289,6688,8616,24,359,14.6,19051.5,3980.1810126582277,400.0,45336.9,24946.635443037983,37,42,1,29184.0,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,21,1997,9,26,0.24685149901069922,0.7531485009893009,"true"
290,5368,44640,24,1860,14.6,40000.0,6752.08805970149,600.0,65663.5,41154.27910447761,28,39,1,39246.8,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,41,1998,10,5,0.22906107676811177,0.7709389232318878,"true"
291,6923,44640,24,1860,14.6,40000.0,6769.947761194027,600.0,65444.3,41961.449253731356,28,39,1,38043.6,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,41,1998,10,5,0.22906107676811177,0.7709389232318878,"true"
292,6313,150912,36,4192,14.6,50600.0,10160.658208955218,700.0,111219.3,52250.26119402985,30,37,2,43737.3,1,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,21,1997,6,15,0.20629973709290328,0.7937002629070963,"true"
293,5270,191088,48,3981,14.6,27111.0,6772.496153846152,500.0,57550.1,32688.03333333332,29,49,1,38391.7,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,34,1997,7,21,0.4054843844119491,0.5945156155880507,"true"
294,5446,48312,24,2013,14.6,18117.0,5664.901063829786,600.0,53030.3,31897.43297872342,45,49,1,41182.1,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,38,1997,8,4,0.24670649774761919,0.7532935022523805,"true"
295,5817,100800,24,4200,2.3,45402.0,6239.584374999998,-1571.5,92354.7,26649.770312499997,22,42,1,-1571.5,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,59,1997,8,15,0.8018504910271415,0.19814950897285857,"false"
296,7209,385560,60,6426,0.4,43502.0,7820.171186440674,700.0,66054.9,29028.266101694902,35,24,1,10414.7,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,41,1997,11,30,0.6219111672299003,0.37808883277009936,"false"
297,6568,220440,60,3674,30.0,45951.0,7381.598666666667,600.0,99990.9,38280.10266666669,34,41,1,31401.9,1,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,42,1998,2,25,0.30817024600985987,0.6918297539901399,"true"
298,6682,36204,12,3017,2.6,27154.0,5640.358260869564,-214.8,56083.5,31916.898260869573,63,52,1,2830.7,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,60,1998,3,30,0.6913777372791831,0.30862226272081705,"false"
299,5699,174960,24,7290,14.6,52200.0,11944.709090909097,1000.0,159286.4,58926.411188811166,58,85,1,71242.6,1,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,20,1998,5,24,0.2858313520972859,0.7141686479027138,"true"
300,7292,317460,60,5291,14.6,61700.0,14354.505517241383,700.0,135890.4,64978.07241379313,50,95,1,76508.5,0,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,0,0,1,0,0,0,0,0,0.0,23,1998,11,22,0.1972710079549501,0.8027289920450493,"true"
301,5214,74772,36,2077,45.3,18696.0,4899.823943661971,500.0,45989.0,24872.139436619716,30,41,1,33177.4,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,36,1997,7,1,0.31460305191541654,0.6853969480845838,"true"
302,6437,63972,36,1777,30.2,10660.0,4859.327272727272,300.0,39052.7,21532.345454545455,9,2,1,39052.7,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,50,1997,11,9,0.38485684748328824,0.6151431525167118,"true"
303,5320,143676,36,3991,30.0,48125.0,5917.831944444445,700.0,82795.9,28370.441666666695,27,45,1,16473.5,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,45,1998,1,11,0.4476732563708485,0.5523267436291518,"true"
304,7164,249792,48,5204,14.6,72000.0,14423.168888888886,700.0,94979.3,58128.03111111112,21,24,1,70038.5,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,33,1998,8,15,0.20471259519958782,0.7952874048004116,"true"
305,5221,52512,12,4376,10.9,49972.0,12491.751724137926,1000.0,120419.7,59684.29885057478,38,49,1,41035.4,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,53,1998,12,5,0.20697691321583533,0.7930230867841642,"true"
306,5856,51360,12,4280,0.8,56300.0,16368.101149425287,-2542.1,158633.6,53636.37471264367,41,46,1,64529.7,1,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,0,0,0,0,0,0,1,0,0.0,51,1997,8,9,0.5331480030099727,0.4668519969900273,"false"
307,6353,116496,24,4854,14.6,43684.0,11518.624166666665,600.0,84726.8,41285.01833333333,44,76,1,24270.5,0,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,0,0,0,0,0,0,1,0,0.0,39,1997,12,25,0.30447325968679323,0.6955267403132065,"true"
308,6677,97980,60,1633,12.4,16518.0,3667.1678832116777,700.0,46398.6,24067.29854014602,45,92,1,16038.7,1,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,0,0,0,0,0,0,0,1,0.0,17,1997,8,12,0.38263572757158776,0.6173642724284122,"true"
309,6242,26208,36,728,46.4,11300.0,4487.316666666667,1000.0,43947.8,27419.850000000002,10,2,1,37647.8,1,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,0,0,0,0,0,0,0,1,0.0,24,1997,10,22,0.30059610155347327,0.6994038984465267,"true"
310,5061,84288,48,1756,14.6,24694.5,5942.568235294116,500.0,50218.4,25727.382352941186,33,52,1,39526.2,1,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,0,0,0,0,0,0,0,1,0.0,40,1998,3,13,0.35252253767369357,0.6474774623263062,"true"
311,6868,82128,24,3422,14.6,30794.0,6249.39421487603,871.3,70376.1,33221.211570247935,69,52,1,37167.7,0,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,0,0,0,0,0,0,0,1,0.0,29,1998,10,12,0.29934044783633357,0.7006595521636663,"true"
312,6097,202848,48,4226,30.0,38037.0,8978.54054054054,800.0,82957.9,37200.395945945966,28,46,2,33802.0,1,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,0,0,0,0,1,0,0,0,0.0,56,1997,8,21,0.2695530684534278,0.7304469315465721,"true"
313,7050,311232,48,6484,6.7,61300.0,16591.597794117653,1100.0,144268.6,72885.75808823538,62,74,1,52289.2,1,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,0,0,0,0,1,0,0,0,0.0,51,1997,9,23,0.25262821847091654,0.7473717815290831,"true"
314,7171,196224,48,4088,14.6,70352.0,23166.12608695652,300.0,135473.2,72465.66956521741,12,11,1,80679.6,0,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,0,0,0,0,1,0,0,0,0.0,47,1998,2,24,0.22906422799649492,0.7709357720035046,"true"
315,7200,31140,60,519,14.6,16300.0,2532.05,800.0,37613.5,28375.804,27,23,1,36627.3,0,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,0,0,0,0,1,0,0,0,0.0,21,1998,7,11,0.27758063742391476,0.7224193625760857,"true"
316,6969,88200,36,2450,14.6,22052.0,5375.56923076923,1100.0,60161.5,37386.85604395604,36,55,2,56477.5,0,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,0,0,0,0,1,0,0,0,0.0,53,1998,9,12,0.22059854727743738,0.779401452722562,"true"
317,7219,57120,48,1190,14.6,13722.0,3322.6306122448987,1000.0,53271.2,41985.62040816325,20,29,1,42762.2,0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,0,0,0,1,0,0,0,0,0.0,39,1997,8,23,0.21109681452151755,0.7889031854784823,"true"
318,7242,48096,24,2004,19.0,20320.0,4930.709638554215,800.0,51009.5,33044.01566265058,35,48,1,32352.9,0,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,0,0,0,1,0,0,0,0,0.0,39,1997,10,23,0.26286450416786294,0.737135495832137,"true"
319,6852,16032,48,334,14.6,21014.0,3563.787603305785,500.0,53314.4,23124.206611570262,47,74,1,30634.0,1,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,0,0,0,1,0,0,0,0,0.0,32,1998,11,10,0.1915873226489981,0.8084126773510016,"true"
320,5830,405780,60,6763,14.6,16557.0,3669.8176136363622,700.0,51008.0,34044.42954545453,61,115,1,41532.1,0,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,0,0,0,0,0,0,1,0,0.0,46,1997,8,28,0.3328605138221708,0.667139486177829,"true"
321,6790,76104,24,3171,14.6,9200.0,2043.7617283950622,1000.0,33813.8,20237.19259259258,44,37,2,27476.0,1,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,0,0,0,0,0,0,1,0,0.0,36,1998,6,8,0.2254824219577769,0.7745175780422228,"true"
322,5265,165780,60,2763,11.5,48000.0,9700.006194690268,413.3,116112.4,45342.2044247788,60,53,1,43363.9,0,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,0,0,0,0,0,0,1,0,0.0,47,1998,10,7,0.368203100006314,0.6317968999936855,"true"
323,6007,289920,48,6040,14.6,54358.0,16606.83111111111,400.0,118790.4,58959.277777777745,20,25,1,54561.4,1,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,0,0,0,1,0,0,0,0,0.0,53,1997,8,30,0.2237912790298549,0.7762087209701445,"true"
324,7279,155760,24,6490,14.6,47600.0,13533.985542168675,200.0,108538.5,51964.01927710846,37,46,1,55447.1,1,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,0,0,0,1,0,0,0,0,0.0,49,1997,12,11,0.23403847758259827,0.7659615224174015,"true"
325,5463,17952,12,1496,11.9,23582.0,6297.549999999999,500.0,46705.2,28597.88620689656,26,32,1,31061.4,1,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,0,0,0,1,0,0,0,0,0.0,44,1998,10,6,0.2941627421263063,0.7058372578736938,"true"
326,6355,127200,48,2650,14.6,23852.0,5931.774736842104,400.0,52868.8,28863.03052631581,40,55,1,39078.4,0,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,0,0,0,1,0,0,0,0,0.0,32,1997,9,24,0.440960931087983,0.5590390689120174,"true"
327,6675,238716,36,6631,30.0,59676.0,12167.42641509434,1000.0,115150.5,65133.535849056614,34,72,1,83039.1,0,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,0,0,1,0,0,0,0,0,0.0,33,1997,11,1,0.2103347317794799,0.78966526822052,"true"
328,5620,30012,12,2501,12.3,43783.0,9240.998058252426,700.0,107744.0,46609.3485436893,47,56,1,94720.3,0,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,0,0,1,0,0,0,0,0,0.0,44,1998,6,16,0.23061681863385083,0.7693831813661484,"true"
329,4988,265320,36,7370,4.4,53500.0,8634.156626506025,379.0,116038.4,46266.57469879516,42,41,1,19959.8,0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,30,1997,12,6,0.6179380170960774,0.38206198290392274,"false"
330,5765,153936,24,6414,62.4,57723.0,22625.03636363636,1100.0,100675.4,58031.62727272727,8,3,1,100675.4,0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,48,1998,2,10,0.2852925780168592,0.7147074219831409,"true"
331,7091,113436,36,3151,14.6,62000.0,17805.063461538466,200.0,131410.1,68510.41730769225,46,58,1,110482.6,0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,42,1998,9,22,0.19974902947673792,0.8002509705232614,"true"
332,5933,87528,24,3647,72.8,32823.0,8868.598245614035,800.0,74816.0,42728.93157894737,25,32,2,74816.0,0,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,46,1997,12,13,0.24717637681887575,0.7528236231811237,"true"
333,6470,49872,12,4156,16.0,58900.0,6030.317209302324,600.0,111451.1,50265.36186046507,58,157,1,76514.2,1,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,31,1998,5,17,0.22940594010560567,0.7705940598943936,"true"
334,5841,41988,12,3499,14.6,33280.0,4462.624031007751,200.0,57965.7,37122.396124031,55,74,2,57951.1,0,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,25,1998,11,4,0.2090787854503692,0.7909212145496302,"true"
335,6574,77544,36,2154,14.6,48633.0,10814.934374999997,700.0,122450.5,37934.86562500001,26,38,1,20750.2,1,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,0,1,0,0,0,0,0,0,0.0,55,1997,12,20,0.32022727024999953,0.67977272975,"true"
336,5525,93888,36,2608,2.5,59500.0,14420.754945054945,200.0,144694.2,69554.29230769227,37,54,2,75158.7,0,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,0,1,0,0,0,0,0,0,0.0,61,1998,4,27,0.28199667892568464,0.7180033210743152,"true"
337,5435,314688,48,6556,8.3,59007.0,14847.7261682243,600.0,99692.3,53094.36448598127,40,67,1,43140.7,0,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,0,1,0,0,0,0,0,0,1.0,24,1998,6,1,0.3193341953039286,0.6806658046960712,"true"
338,7168,208332,36,5787,14.6,73890.0,15349.254838709683,500.0,134634.4,64087.07016129033,37,87,1,27282.7,1,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,0,1,0,0,0,0,0,0,0.0,18,1998,7,5,0.19430949328070743,0.8056905067192928,"true"
339,5909,61320,60,1022,14.6,12945.0,2586.201351351352,700.0,32515.7,23137.190540540527,24,50,1,21118.6,1,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,0,0,0,0,0,0,1,0,0.0,50,1998,1,3,0.2530706473861962,0.7469293526138038,"true"
340,6859,272220,60,4537,3.2,48428.0,7196.523749999998,500.0,104227.6,39041.918749999975,38,42,1,37464.6,1,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,0,0,0,0,0,0,1,0,0.0,57,1998,3,7,0.4549504976066788,0.5450495023933214,"true"
341,6539,12792,12,1066,14.6,9254.0,2558.9641025641026,900.0,42247.1,28534.937179487173,35,43,1,38120.5,1,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,0,0,0,0,0,0,1,0,0.0,24,1998,7,11,0.24453721382010993,0.7554627861798902,"true"
342,5226,185544,36,5154,14.6,29159.0,7575.054285714286,200.0,70887.8,27729.91714285716,18,17,1,13694.4,0,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,0,0,0,0,0,0,1,0,0.0,59,1998,10,11,0.6800172935279191,0.31998270647208044,"false"
343,5260,123300,36,3425,30.0,58800.0,13272.657777777777,800.0,132024.9,55026.62000000002,40,50,1,49599.2,1,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,0,0,0,1,0,0,0,0,1.0,52,1998,1,19,0.28330661776645577,0.7166933822335437,"true"
344,6553,42384,12,3532,14.6,60300.0,8414.379545454547,700.0,123072.0,48865.98409090907,44,88,1,23454.4,1,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,0,0,0,1,0,0,0,0,0.0,56,1998,1,26,0.23935195534485348,0.7606480446551461,"true"
345,6633,160656,24,6694,14.6,56400.0,12154.313013698638,400.0,173151.0,52422.49109589047,57,89,1,95643.0,1,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,0,1,0,0,0,0,0,0,0.0,27,1998,2,5,0.2583336463852221,0.7416663536147774,"true"
346,7151,133800,24,5575,14.6,47382.0,9527.584946236557,300.0,83556.1,45733.43548387097,33,60,1,36126.5,0,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,0,1,0,0,0,0,0,0,0.0,56,1998,2,18,0.4197376815550727,0.5802623184449273,"true"
347,5665,40632,12,3386,30.0,30470.0,5188.519491525423,1100.0,75484.9,48478.59067796609,31,87,1,48931.1,1,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,0,1,0,0,0,0,0,0,0.0,52,1998,3,11,0.23881691466329605,0.7611830853367033,"true"
348,6932,225504,48,4698,30.0,65738.0,11636.811049723756,800.0,127323.7,57411.608287292685,46,135,1,98236.7,0,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,0,1,0,0,0,0,0,0,1.0,18,1998,6,25,0.19471651843840912,0.8052834815615901,"true"
349,7294,39168,24,1632,14.6,30462.0,7977.972222222223,300.0,81495.6,55438.85185185188,23,31,1,62119.2,1,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,0,1,0,0,0,0,0,0,0.0,19,1998,9,27,0.22172409684914526,0.7782759031508539,"true"
350,6321,38496,12,3208,14.6,38123.0,7807.824999999999,800.0,92238.0,42732.3361111111,22,14,1,92223.4,1,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,0,1,0,0,0,0,0,0,1.0,34,1998,10,8,0.243420975051726,0.7565790249482737,"true"
351,6469,99744,24,4156,30.0,37408.0,8674.164705882353,700.0,79967.9,40126.968627450995,42,60,1,71878.9,1,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,0,1,0,0,0,0,0,0,0.0,27,1998,11,17,0.28279838640266813,0.7172016135973313,"true"
352,5614,253560,60,4226,14.6,38038.0,10335.426851851851,900.0,76509.7,39822.71111111109,43,65,1,36718.7,1,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,0,0,0,1,0,0,0,0,0.0,47,1998,9,21,0.31389560321213605,0.6861043967878634,"true"
353,4967,318480,60,5308,0.4,47785.0,7571.999137931034,-1011.2,104761.5,39953.970689655114,32,84,1,16367.8,0,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,0,0,0,0,0,1,0,0,0.0,46,1998,10,14,0.6812070879518743,0.31879291204812593,"false"
